time-of-completion,duration,label
2024-09-19-17-07,90,W1 main
2024-09-19-10-34,71,W1 main
2024-09-18-17-24,90,W1 main
2024-09-18-15-08,90,W1 main
2024-09-18-10-16,21,WCmn
2024-09-18-04-27,18,WCmn
2024-09-17-18-04,90,WCmn
2024-09-17-15-11,46,W1 main
2024-09-17-12-45,90,W1 main
2024-09-16-19-18,90,W1 main
2024-09-16-14-44,90,W1 main
2024-09-16-10-39,20,Ltg
2024-09-15-08-50,79,W1 main
2024-09-13-15-10,90,W1 main
2024-09-13-13-17,90,W1 main
2024-09-13-09-26,22,Ltg
2024-09-13-04-09,36,W1 main
2024-09-12-17-49,90,W1 main
2024-09-12-15-50,90,W1 main
2024-09-11-18-45,90,W1 main
2024-09-11-15-51,90,W1 main
2024-09-11-13-54,90,W1 main
2024-09-11-09-05,32,W1 main
2024-09-10-15-49,90,W1 main
2024-09-06-19-27,90,W1 main
2024-09-06-14-50,90,W1 main
2024-09-06-12-13,90,W1 main
2024-09-06-10-11,57,W1 main
2024-09-05-17-17,90,W1 main
2024-09-05-12-17,90,W1 main
2024-09-04-19-37,89,W1 main
2024-09-04-15-35,90,W1 main
2024-09-04-12-41,90,W1 main
2024-09-04-08-23,71,W1 main
2024-09-03-18-36,90,W1 main
2024-09-03-15-39,90,W1 main
2024-09-03-13-14,90,W1 main
2024-09-02-20-38,1,W1 main
2024-09-02-20-36,90,W1 main
2024-09-02-16-22,1,W1 main
2024-09-02-16-20,90,W1 main
2024-09-02-12-33,90,W1 main
2024-08-31-10-14,31,W1 main
2024-08-30-15-44,90,W1 main
2024-08-30-13-24,90,W1 main
2024-08-29-21-01,90,W1 main
2024-08-29-16-19,90,W1 main
2024-08-29-12-48,50,W1 main
2024-08-29-11-56,90,W1 main
2024-08-29-09-19,22,Ltg
2024-08-28-10-27,24,W1 main
2024-08-27-11-19,50,W1 main
2024-08-26-14-28,90,W1 main
2024-08-22-23-25,90,W1 main
2024-08-22-21-54,90,W1 main
2024-08-22-19-34,90,W1 main
2024-08-22-17-18,90,W1 main
2024-08-22-15-47,90,W1 main
2024-08-22-14-16,90,W1 main
2024-08-22-12-46,39,W1 main
2024-08-21-17-49,90,W1 main
